RT,Key Peaks,Compound,Category,BL3_5,BL3_8,BL3_11,BL3_14,BL3_17,BL3_20 ,BL3_23,BL3_26,BL3_29,BL3_32,BL3_35,BL3_38,BL3_41,BL3_44,BL3_47,BL3_50 
19.82,,,Unknown,0.300972162,0.660276593,0.481177432,0,0,0,0,0,0,0,0,0,0,0,0,0
19.99,"71,85,368,422",,Unknown,0.308557973,0.413406438,0.453460941,0.075578664,0.126625646,0.147878558,0,0,0.077575109,0.07948534,0,0.052767454,0.078095898,0.097361227,0.071552157,0
20.15,69143378,Cholestane,PAH,0,0.270421104,0.194908508,0,0.070640403,0.041670737,0,0,0,0,0,0,0,0,0,0
20.33,81105380,Ergosterol,PAH,0,0.100498547,0.181082193,0,0.0504617,0.061656642,0,0,0,0,0,0,0,0,0,0
20.49,,,Unknown,0,0.109321754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.7,67143380,Ergosterol ,PAH,0,0.393474813,0.324789394,0,0.122358368,0.077664465,0,0,0,0,0,0,0,0,0,0
20.82,"71,85,436",n-C31,Long_Saturated_Alkane,1.327806485,1.547070306,1.740066419,0.320872987,0.398539437,0.528797894,1.367929685,0.336808874,0.298635254,0.329542118,0.180069191,0.217930859,0.261201492,0.279209403,0.213303226,0.0840023
20.97,"69,83,143,392",Stigmasterol,PAH,0.157429194,0.484348124,0.216341094,0.048228973,0.117858564,0.066276315,0,0,0,0,0,0,0,0,0,0
21.08,"69,81,143,398,452",Cholesterol,PAH,0,0.189601637,0.220778044,0,0.080445413,0.09168252,0,0,0,0,0,0,0,0,0,0
21.16,"69,83,97,255,394",Stigmasterol,PAH,0,0.243112261,0.283931847,0.09984453,0.108739308,0.150643536,0,0,0,0,0,0,0,0,0,0
21.34,"71,85,396",?,Unknown,0,0.196201721,0,0.04703294,0.066249391,0.089110891,0,0,0,0,0,0,0,0,0,0
21.51,69143394,Stigmasterol,PAH ,0.306798425,0.880685823,0.589065665,0.1114455,0.266966888,0.179919984,0,0,0,0,0,0,0,0,0,0
21.62,,,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.76,69105396412,Stigmasterol,PAH,0.30066563,0.414261555,0.392939201,0.060358734,0.119825307,0.146407837,0.468795534,0.102185548,0.087946648,0.115649877,0.06276058,0.083862801,0.103298949,0.129964217,0.124150068,0.067896443
21.92,,,Unknown,0,0.080700992,0,0,0,0.023334741,0,0,0,0,0,0,0,0,0,0
22.07,,,Unknown,0.110240905,0.106710514,0,0.069686449,0.032580307,0.050536457,0,0.063096715,0.112423216,0.092293924,0,0,0,0.207326041,0,0
22.24,,,Unknown,0.083029656,0,0,0,0,0.034954728,0,0,0,0,0,0,0,0,0,0
22.53,,,Unknown,0.166292375,0,0,0,0.024470384,0.037445931,0,0,0,0,0,0,0,0,0,0
22.6,"69,81,368,416,478",Cholesterol,PAH,0,0.099347993,0,0,0.04616185,0.049631077,0,0,0,0,0,0,0,0,0,0
22.7,"71,85,464",n-C33,Long_Saturated_Alkane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.71,,,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.86,"71,85,464",n-C33,Long_Saturated_Alkane,0.656852396,0.715349582,0.797223187,0.158549921,0.209436525,0.266555103,0.529731016,0.15923473,0.157282043,0.178224932,0.09167111,0.134741485,0.14449696,0.151127299,0.116273783,0.066971154
23.24,,,Unknown,0.136518051,0.142063932,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.59,69191257480,Cetyl Palmitate ,Ester ,0.174775555,0.211195506,0,0.091278349,0.068996811,0.105567319,0,0.0760156,0.095375918,0.078608758,0,0,0,0.097538698,0,0
23.74,,,Unknown,0.174946571,0.095993213,0.168924424,0,0.057016505,0,0,0,0,0,0,0.087599734,0.070736256,0.082206309,0,0
23.95,"71,81,397,430",Cholestane?,PAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.13,,,Unknown,0.142256646,0.163818866,0.192152774,0,0.142192958,0.076213895,0,0,0,0,0,0,0,0,0,0
24.3,,,Unknown,0,0.057999461,0,0,0.059680611,0.073666957,0,0,0,0,0,0,0,0,0,0
24.56,,Hopene ,PAH ,0,0.06602424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.71,"69,81,249,432",?,Unknown,0,0,0,0,0.102494752,0,0,0,0,0,0,0,0,0,0,0
25.16,"69,81,105,396",Stigmasterol,PAH,0,0,0,0,0.060999549,0.143701318,0,0,0,0,0,0,0,0,0.156458131,0
25.28,,,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0.141482665,0.130462221,0,0
25.44,,,Unknown,0,0,0.19740727,0.051315726,0,0,0,0,0.066269772,0,0,0,0,0,0,0
25.59,,,Unknown,0,0,0.191106132,0,0,0,0,0,0,0,0,0,0,0,0,0
25.77,,,Unknown,0,0,0,0,0,0.0417931,0,0,0,0,0,0,0,0,0,0
25.99,,,Unknown,0,0,0,0,0,0.097374053,0,0,0,0.23933621,0.182191591,0.150165171,0.178778705,0.274086303,0,0
