RT,Compound,Category,SL_2,SL_5,SL_8,SL_11,SL_14,SL_17,SL_23,SL_26,SL_29,SL_32,SL_35,SL_38,SL_41,SL_44,SL_47,SL_50,SL_53,SL_56,SL_59,SL_62,SL_65,SL_68,SL_71,SL_74,SL_77,SL_80,SL_83,SL 83
12,C12 Dimethyl Ester ,Diacid,0.981076559,0.231777034,0.378863505,0.703719381,0.348797799,0.647362844,0.498258785,0.347346165,0.396130828,0.434036666,0.431027975,0.217474332,0.164684957,0.171551495,0.331614695,0.206548886,0.265830023,0.237906669,0.216933185,0.346383408,0.477233582,0.361370685,0.3461386,0,0,0,0,0
12.16,br-C17 FAME,Branched ,0.919268593,0.2562639,0.590535512,0.441327308,0.325269148,0.640950702,0.55059835,0.49814488,0.457492391,0.405390714,0.264490906,0.239054175,0.170688959,0.163235979,0.327631193,0.205266515,0.234577738,0.304634265,0.168805779,0.211680966,0.234949992,0.14562437,0.21425393,0,0,0,0,0
12.32,a-C16 FAME,Branched ,0.584131295,0.317384619,0.321015657,0.671786125,0.33476964,0.974943456,0.662340383,0.489814332,0,0.343947064,0,0.171506411,0,0.264116137,0,0.341984019,0.398030516,0,0.306338009,0.590252095,0.122234499,0,0,0,0,0,0,0
12.48,C16:1 FAME,MUFA,2.544296711,0.648028526,0,1.661889349,0.442939038,3.934102069,1.601987691,0.767054326,0.482824136,0.731530922,0.287785416,0.336880463,0,0.237129402,0,0.214891841,0.248487303,0,0,0,0.231081684,0,0,0,0,0,0,0
12.61,n-C16 FAME,Short_Saturated ,12.89125412,5.384947318,8.127410616,8.819298776,5.484702142,13.79703264,12.01982225,6.946638396,5.865352652,5.186680289,4.247078475,3.239331403,3.63630885,3.991875248,4.452940977,5.373459369,5.69210487,3.495889226,5.080609836,6.17923018,4.530532818,3.799679244,4.744124762,2.133574781,2.639767519,1.530591293,1.940880902,1.408121501
12.81,C13 Dimethyl Ester,Diacid,0.216409628,0,0,0.329222148,0,0,0,0,0,0,0.23480095,0,0,0,0,0.149363525,0,0,0,0,0.292765521,0.10321135,0.226088889,0,0,0,0,0
12.98,br-C17 FAME,Branched ,0.51047433,0,0.366520689,0.70655042,0.680919324,0,0.707413323,0.520125504,0.322012493,0,0,0,0,0,1.007753968,0,0,1.174497127,0,0,0,0,0,0,0,0,0,0
13.07,iso-C20 FAME,Isoprenoid ,0,0,0.521017079,0,0.39123612,0,0.556368211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224478242,0,0,0,0,0,0,0
13.13,br-C17 FAME,Branched ,0.559894362,0.283644194,0.288913911,0,0.283281691,0,0.370698879,0.284754854,0.214837165,0,0,0.162513353,0,0,0,0.169583078,0,0,0,0,0.171085805,0,0,0,0,0,0,0
13.21,n-C17 FAME,Short_Saturated ,0.289859194,0.213890066,0.661774066,0,0.442223743,0,0.515780509,0.227945555,0.174395481,0,0,0,0,0,0.608613131,0.185747656,0,0,0,0,0.366047538,0.282667758,0.285590948,0,0,0,0,0
13.41,n-C17 FAME ,Short_Saturated ,0.767294996,0.287788735,0,0.803027716,0,0,0,0.469424103,0.42739286,0.580972568,0.513605989,0.25078989,0.224488816,0.320629287,0,0.393007295,0.35642876,0,0.278462148,0.407763126,0,0,0,0,0,0,0,0
13.53,Unknown,Unknown,0,0,0,0,0,0,0,0.289065507,0.193948013,0,0,0,0,0,0,0,0,0,0,0,0.192818481,0,0,0,0,0,0,0
13.74,Unknown,Unknown,0,0.351756009,0,0.6624432,0,0,0,0.481128629,0.35330269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.83,iso-C20 FAME,Isoprenoid ,0,0,0.448603019,0,0.313544772,0,0.212407346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23887732,0.182067594,0.270361928,0,0,0,0,0
13.97,C18:1 FAME,MUFA,8.901803366,3.488382451,0.69875578,5.094105613,1.353198032,10.68849418,5.287685067,2.325311612,1.66070291,1.181684401,1.129023328,1.000740426,0.973817652,0.212043909,1.317528606,0.247160651,1.17928186,0.905978654,0,0.928145198,0.896127205,0.744488483,0.696338135,0,0,0,0,0
